filename,relative_path,recorder_id,start_timestamp
CCLO_20250531T063348_1_SNAS-G1_S20250531T063221.982136-0600_E20250531T070221.870781-0600_+49.10250-109.54563_resampled.flac,audio\SNAS-G1\CCLO_20250531T063348_1_SNAS-G1_S20250531T063221.982136-0600_E20250531T070221.870781-0600_+49.10250-109.54563_resampled.flac,SNAS-G1,2025-05-31 06:33:48-06:00
CCLO_20250531T063348_1_SNAS-E1_S20250531T063259.477554-0600_E20250531T070259.346217-0600_+49.10190-109.54212_resampled.flac,audio\SNAS-E1\CCLO_20250531T063348_1_SNAS-E1_S20250531T063259.477554-0600_E20250531T070259.346217-0600_+49.10190-109.54212_resampled.flac,SNAS-E1,2025-05-31 06:33:48-06:00
CCLO_20250531T063348_1_SNAS-F1_S20250531T063222.059099-0600_E20250531T070221.933532-0600_+49.10253-109.54571_resampled.flac,audio\SNAS-F1\CCLO_20250531T063348_1_SNAS-F1_S20250531T063222.059099-0600_E20250531T070221.933532-0600_+49.10253-109.54571_resampled.flac,SNAS-F1,2025-05-31 06:33:48-06:00
CCLO_20250531T063348_1_SNAS-F2_S20250531T063254.357326-0600_E20250531T070255.149698-0600_+49.10213-109.54125_resampled.flac,audio\SNAS-F2\CCLO_20250531T063348_1_SNAS-F2_S20250531T063254.357326-0600_E20250531T070255.149698-0600_+49.10213-109.54125_resampled.flac,SNAS-F2,2025-05-31 06:33:48-06:00
CCLO_20250531T063348_1_SNAS-G2_S20250531T063222.119867-0600_E20250531T070221.981095-0600_+49.10248-109.54570_resampled.flac,audio\SNAS-G2\CCLO_20250531T063348_1_SNAS-G2_S20250531T063222.119867-0600_E20250531T070221.981095-0600_+49.10248-109.54570_resampled.flac,SNAS-G2,2025-05-31 06:33:48-06:00
CCLO_20250531T063406_1_SNAS-D7_S20250531T063225.735656-0600_E20250531T070225.622684-0600_+49.10253-109.54566_resampled.flac,audio\SNAS-D7\CCLO_20250531T063406_1_SNAS-D7_S20250531T063225.735656-0600_E20250531T070225.622684-0600_+49.10253-109.54566_resampled.flac,SNAS-D7,2025-05-31 06:34:06-06:00
CCLO_20250531T063406_1_SNAS-C6_S20250531T063223.688196-0600_E20250531T070223.554846-0600_+49.10252-109.54570_resampled.flac,audio\SNAS-C6\CCLO_20250531T063406_1_SNAS-C6_S20250531T063223.688196-0600_E20250531T070223.554846-0600_+49.10252-109.54570_resampled.flac,SNAS-C6,2025-05-31 06:34:06-06:00
CCLO_20250531T063406_1_SNAS-C7_S20250531T063219.123964-0600_E20250531T070218.984068-0600_+49.10244-109.54567_resampled.flac,audio\SNAS-C7\CCLO_20250531T063406_1_SNAS-C7_S20250531T063219.123964-0600_E20250531T070218.984068-0600_+49.10244-109.54567_resampled.flac,SNAS-C7,2025-05-31 06:34:06-06:00
CCLO_20250531T063406_1_SNAS-D6_S20250531T063214.880225-0600_E20250531T070214.745501-0600_+49.10253-109.54567_resampled.flac,audio\SNAS-D6\CCLO_20250531T063406_1_SNAS-D6_S20250531T063214.880225-0600_E20250531T070214.745501-0600_+49.10253-109.54567_resampled.flac,SNAS-D6,2025-05-31 06:34:06-06:00
CCLO_20250531T063406_1_SNAS-E6_S20250531T063218.508221-0600_E20250531T070218.370405-0600_+49.17620-109.50685_resampled.flac,audio\SNAS-E6\CCLO_20250531T063406_1_SNAS-E6_S20250531T063218.508221-0600_E20250531T070218.370405-0600_+49.17620-109.50685_resampled.flac,SNAS-E6,2025-05-31 06:34:06-06:00
CCLO_20250531T063406_1_SNAS-E7_S20250531T063224.815012-0600_E20250531T070224.691774-0600_+49.10250-109.54570_resampled.flac,audio\SNAS-E7\CCLO_20250531T063406_1_SNAS-E7_S20250531T063224.815012-0600_E20250531T070224.691774-0600_+49.10250-109.54570_resampled.flac,SNAS-E7,2025-05-31 06:34:06-06:00
CCLO_20250531T063406_1_SNAS-F7_S20250531T063220.709951-0600_E20250531T070220.591012-0600_+49.10239-109.54562_resampled.flac,audio\SNAS-F7\CCLO_20250531T063406_1_SNAS-F7_S20250531T063220.709951-0600_E20250531T070220.591012-0600_+49.10239-109.54562_resampled.flac,SNAS-F7,2025-05-31 06:34:06-06:00
CCLO_20250531T063418_1_SNAS-A4_S20250531T063254.391946-0600_E20250531T070254.267787-0600_+49.10359-109.54283_resampled.flac,audio\SNAS-A4\CCLO_20250531T063418_1_SNAS-A4_S20250531T063254.391946-0600_E20250531T070254.267787-0600_+49.10359-109.54283_resampled.flac,SNAS-A4,2025-05-31 06:34:18-06:00
CCLO_20250531T063418_1_SNAS-A3_S20250531T063254.407647-0600_E20250531T070254.257476-0600_+49.10326-109.54315_resampled.flac,audio\SNAS-A3\CCLO_20250531T063418_1_SNAS-A3_S20250531T063254.407647-0600_E20250531T070254.257476-0600_+49.10326-109.54315_resampled.flac,SNAS-A3,2025-05-31 06:34:18-06:00
CCLO_20250531T063418_1_SNAS-A5_S20250531T063254.629953-0600_E20250531T070254.495611-0600_+49.10388-109.54251_resampled.flac,audio\SNAS-A5\CCLO_20250531T063418_1_SNAS-A5_S20250531T063254.629953-0600_E20250531T070254.495611-0600_+49.10388-109.54251_resampled.flac,SNAS-A5,2025-05-31 06:34:18-06:00
CCLO_20250531T063418_1_SNAS-B2_S20250531T063254.962205-0600_E20250531T070254.835868-0600_+49.10288-109.54290_resampled.flac,audio\SNAS-B2\CCLO_20250531T063418_1_SNAS-B2_S20250531T063254.962205-0600_E20250531T070254.835868-0600_+49.10288-109.54290_resampled.flac,SNAS-B2,2025-05-31 06:34:18-06:00
CCLO_20250531T063418_1_SNAS-B5_S20250531T063255.941585-0600_E20250531T070255.800623-0600_+49.10380-109.54193_resampled.flac,audio\SNAS-B5\CCLO_20250531T063418_1_SNAS-B5_S20250531T063255.941585-0600_E20250531T070255.800623-0600_+49.10380-109.54193_resampled.flac,SNAS-B5,2025-05-31 06:34:18-06:00
