array,recorder_id,utm_easting,utm_northing,utm_zone,latitude,longitude,elevation,ortho_HT,ins_HT,h_acc,v_acc
GSA,GSA-A1,193757.0716,5621716.216,13N,50.66658934,-109.3341542,676.3289,0,0,0.16,0.28
GSA,GSA-A2,193757.1697,5621756.458,13N,50.66695025,-109.3341861,677.1357,0,0,0.15,0.28
GSA,GSA-A3,193757.0821,5621795.342,13N,50.66729889,-109.3342195,677.7975,0,0,0.15,0.28
GSA,GSA-A4,193757.2145,5621835.563,13N,50.66765963,-109.3342509,678.0268,0,0,0.15,0.2734
GSA,GSA-A5,193757.0785,5621875.433,13N,50.66801709,-109.3342858,678.4218,0,0,0.1506,0.2832
GSA,GSA-A6,193755.9451,5621915.578,13N,50.66837648,-109.334335,677.9917,0,0,0.1509,0.2781
GSA,GSA-A7,193754.7968,5621956.797,13N,50.6687455,-109.3343853,678.0699,0,0,0.159,0.2834
GSA,GSA-B2,193793.5306,5621732.441,13N,50.666754,-109.3336532,677.0678,0,0,0.1541,0.2742
GSA,GSA-B3,193794.2885,5621772.457,13N,50.66711323,-109.3336756,677.6892,0,0,0.1515,0.2714
GSA,GSA-B4,193795.4696,5621811.589,13N,50.66746476,-109.3336913,677.7288,0,0,0.1563,0.2775
GSA,GSA-B5,193793.6999,5621851.888,13N,50.6678252,-109.3337496,678.1427,0,0,0.1603,0.2824
GSA,GSA-B6,193794.436,5621892.375,13N,50.66818865,-109.3337727,677.9109,0,0,0.1668,0.2893
GSA,GSA-B7,193795.0883,5621933.124,13N,50.6685544,-109.3337972,677.8186,0,0,0.16,0.2779
GSA,GSA-C1,193835.403,5621714.425,13N,50.66661445,-109.3330475,677.3311,0,0,0.16,0.29
GSA,GSA-C2,193834.2694,5621752.161,13N,50.66695225,-109.3330947,677.9436,0,0,0.16,0.29
GSA,GSA-C3,193832.8666,5621792.802,13N,50.66731595,-109.3331481,678.3371,0,0,0.1669,0.3005
GSA,GSA-C4,193833.6531,5621832.22,13N,50.66766983,-109.3331696,678.1943,0,0,0.1648,0.3099
GSA,GSA-C5,193833.6356,5621873.76,13N,50.66804233,-109.3332042,677.9404,0,0,0.1699,0.3091
GSA,GSA-C6,193835.8979,5621912.481,13N,50.66839074,-109.3332043,677.8338,0,0,0.16,0.3097
GSA,GSA-C7,193835.7776,5621952.992,13N,50.66875395,-109.3332395,677.6219,0,0,0.17,0.31
GSA,GSA-D1,193875.5268,5621690.754,13N,50.66642327,-109.3324618,680.1878,0,0,0.16,0.29
GSA,GSA-D2,193875.6614,5621733.084,13N,50.66680293,-109.3324949,680.411,0,0,0.2144,0.3597
GSA,GSA-D3,193875.1891,5621770.863,13N,50.66714146,-109.3325328,681.4546,0,0,0.2,0.34
GSA,GSA-D4,193875.4709,5621808.568,13N,50.66747972,-109.33256,679.247,0,0,0.1496,0.2562
GSA,GSA-D5,193875.5674,5621851.214,13N,50.66786219,-109.3325939,679.2501,0,0,0.15,0.2605
GSA,GSA-D6,193876.7263,5621896.507,13N,50.66826895,-109.332615,678.7143,0,0,0.1588,0.26
GSA,GSA-D7,193877.9334,5621935.125,13N,50.66861588,-109.3326299,678.9217,0,0,0.1497,0.2572
GSA,GSA-E1,193918.231,5621714.263,13N,50.66665652,-109.3318787,683.3416,0,0,0.14,0.2573
GSA,GSA-E2,193917.1866,5621754.501,13N,50.6670168,-109.3319267,684.096,0,0,0.1473,0.2504
GSA,GSA-E3,193916.8371,5621794.016,13N,50.66737096,-109.3319643,681.014,0,0,0.15,0.2571
GSA,GSA-E4,193916.7896,5621834.451,13N,50.66773353,-109.3319984,680.2825,0,0,0.15,0.2689
GSA,GSA-E5,193915.4388,5621874.537,13N,50.66809228,-109.3320506,679.1479,0,0,0.15,0.2443
GSA,GSA-E6,193915.9453,5621914.387,13N,50.66844989,-109.3320764,678.8638,0,0,0.15,0.25
GSA,GSA-E7,193915.0179,5621952.865,13N,50.66879445,-109.3321213,678.4363,0,0,0.14,0.25
GSA,GSA-F1,193957.0706,5621695.646,13N,50.66650998,-109.3313153,683.8673,0,0,0.14,0.25
GSA,GSA-F2,193956.9798,5621733.656,13N,50.66685078,-109.331348,684.1213,0,0,0.1409,0.25
GSA,GSA-F3,193956.499,5621774.806,13N,50.66721954,-109.3313888,682.0949,0,0,0.14,0.253
GSA,GSA-F4,193956.1801,5621815.454,13N,50.66758387,-109.3314269,680.6486,0,0,0.14,0.2605
GSA,GSA-F5,193956.7288,5621853.006,13N,50.6679209,-109.3314502,679.6084,0,0,0.14,0.27
GSA,GSA-F6,193956.6808,5621894.163,13N,50.66828994,-109.3314849,679.4986,0,0,0.15,0.27
GSA,GSA-F7,193956.3405,5621933.839,13N,50.66864555,-109.3315225,679.6055,0,0,0.1441,0.2758
GSA,GSA-G1,193999.1284,5621712.725,13N,50.66668523,-109.330736,684.8039,0,0,0.14,0.26
GSA,GSA-G2,193998.0808,5621752.918,13N,50.6670451,-109.330784,683.1334,0,0,0.147,0.2536
GSA,GSA-G3,193996.1056,5621790.583,13N,50.66738182,-109.330843,682.0986,0,0,0.14,0.26
GSA,GSA-G4,193996.975,5621828.413,13N,50.66846806,-109.3309267,680.6229,0,0,0.14,0.25
GSA,GSA-G5,193997.3783,5621868.931,13N,50.66772151,-109.330862,681.111,0,0,0.1441,0.25
GSA,GSA-G6,193997.2654,5621911.649,13N,50.66808506,-109.3308898,680.4096,0,0,0.15,0.27
GSA,GSA-G7,193997.1645,5621950.938,13N,50.66882033,-109.3309606,679.8901,0,0,0.1432,0.2601
SNAS,SNAS-A1,168387.6384,5448820.027,13N,49.10268649,-109.5438089,930.3004,0,0,0.19,0.3
