site,id,date,time,position,utm_easting,utm_northing,utm_zone,elevation,h_accuracy,v_accuracy
GSA,GRSP, 2025-06-18, 08:04:56,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:05:32,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:06:00,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:06:18,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:06:22,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:06:33,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:06:43,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:06:55,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:07:05,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:07:15,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:07:25,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:07:37,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:07:51,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:08:02,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:08:10,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:08:19,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:08:30,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:08:50,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:09:02,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:09:10,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:09:22,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
GSA,GRSP, 2025-06-18, 08:09:31,1,193818.1118,5621742.272,13N,679.5768,5.923,5.4039
